,temperature,R,G,B
125,1935,59,66,76
127,1945,58,65,75
129,1955,68,77,89
133,1975,57,63,75
139,2005,64,72,85
141,2015,65,74,86
143,2025,62,70,82
144,2030,64,71,83
145,2035,67,75,87
146,2040,70,80,92
147,2045,71,81,93
148,2050,72,84,95
149,2055,71,84,96
150,2060,71,84,97
151,2065,70,81,95
153,2075,64,70,83
154,2080,60,65,77
155,2085,68,75,87
156,2090,74,83,95
157,2095,73,83,95
161,2115,67,75,86
162,2120,67,75,86
163,2125,68,77,89
164,2130,70,80,93
165,2135,69,78,90
166,2140,67,75,86
167,2145,70,80,92
168,2150,75,86,99
169,2155,72,83,94
171,2165,72,83,94
172,2170,75,86,99
173,2175,77,89,103
175,2185,79,92,108
177,2195,75,86,100
179,2205,74,86,98
180,2210,77,88,101
181,2215,77,88,101
183,2225,75,87,100
