"temperature","R","G","B"
1360,74,88,106
1520,78,88,107
1830,83,91,107
1900,80,91,108
2010,80,94,109
2030,80,93,107
2060,80,91,107
2050,80,93,107
2030,80,94,108
2000,79,93,108
1970,76,90,103
1950,76,85,101
1910,72,84,99
1880,71,81,100
1830,71,78,91
1740,66,74,86
1560,69,75,86
1800,73,78,92
1860,76,82,93
1750,74,83,94
1960,73,87,96
1930,76,91,107
1820,76,91,104
1420,79,94,103
1610,81,94,103
1500,82,93,99
1465,80,91,105
1470,80,92,109
1510,80,93,106
2040,81,90,109
2170,81,91,105
2210,79,91,104
2230,74,89,101
2080,72,84,103
2120,72,80,95
2070,68,76,92
2080,66,69,85
2020,56,68,79
1940,58,66,75
1600,59,61,69
1910,59,67,77
1930,64,69,80
1950,67,75,81
1980,66,76,93
2000,69,83,94
2010,72,81,94
2040,72,83,94
2080,72,85,98
2120,77,86,97
2130,80,91,105
2220,82,91,106
2170,78,92,104
2130,80,91,107
2040,80,93,108
1690,80,95,107
1670,80,95,107
1900,80,93,107
1960,80,91,109
2040,80,91,104
2060,79,87,103
2220,74,84,97
2090,72,80,90
2090,68,74,86
2115,66,72,84
2060,59,69,82
2000,59,64,79
1910,58,61,72
1450,53,58,72
1420,42,40,50
1860,46,45,55
2100,56,53,64
2080,58,58,68
2020,59,64,72
2160,64,69,77
2230,64,69,80
2160,67,75,85
2265,72,77,90
2290,67,78,87
2265,72,82,92
2210,75,83,93
2150,72,83,96
2140,76,85,98
2050,73,88,99
2100,75,88,104
2190,80,90,110
2170,81,94,106
2120,80,94,107
2150,82,95,110
2090,81,95,107
2090,85,98,108
2115,79,96,112
2100,76,90,104
2070,78,90,104
2070,72,83,101
2060,68,79,93
2040,69,73,87
2030,61,71,80
2020,59,68,73
1970,59,66,77
1940,53,63,75
1920,55,56,66
1650,50,51,60
1540,32,31,37
1800,37,36,43
1920,45,42,53
2040,46,50,54
2115,50,53,65
2200,53,61,71
2130,59,67,76
2010,64,69,80
2115,66,72,84
1940,67,75,86
1950,67,77,90
2170,67,77,90
2040,67,80,88
2210,72,83,92
2200,72,83,94
2050,74,84,97
2220,77,88,99
2120,80,88,102
2280,80,93,106
2230,80,96,110
2140,80,95,108
2210,80,96,113
2220,77,94,107
2180,81,96,110
2100,84,96,107
2060,72,93,104
2120,77,89,102
2100,74,85,96
2140,67,82,94
2070,67,76,87
2090,66,71,85
2080,61,67,77
2070,61,67,75
2030,57,61,72
1980,53,56,67
1870,47,51,60
1580,43,43,52
1820,31,26,33
1940,36,32,38
1980,42,38,45
2030,45,44,51
2030,51,50,58
2050,53,58,66
2080,58,61,71
2090,61,65,77
2130,60,69,80
2120,68,75,83
2150,67,75,86
2150,69,77,85
2140,69,77,89
2130,64,80,96
2170,73,83,98
2090,77,84,94
2130,80,88,99
2130,80,91,104
2180,80,91,107
2150,80,91,110
2140,83,94,108
2160,80,96,107
2115,84,97,111
2170,83,96,112
2200,80,96,112
2130,80,94,107
2050,77,94,107
2060,72,89,97
2050,72,85,95
2040,72,80,94
2030,68,75,90
2020,64,72,88
2030,59,71,81
2000,56,64,71
1970,51,56,67
1950,46,52,60
1860,45,45,53
1660,40,39,48
1830,27,19,26
2000,32,28,36
2080,36,33,40
2120,40,39,42
2140,45,42,49
2120,49,51,58
2140,55,55,62
2120,54,59,71
2130,55,63,74
2160,63,67,75
2170,62,71,79
2140,65,74,85
2130,69,75,85
2200,74,80,88
2130,71,78,94
2190,72,83,94
2160,74,87,94
2210,74,85,101
2190,80,89,107
2210,84,94,107
2190,80,94,107
2200,81,94,108
2190,83,94,112
2150,81,100,110
2180,83,97,117
2180,80,99,112
2090,79,96,109
2090,77,89,104
2050,75,87,99
2030,72,84,99
2010,72,77,94
2030,67,75,91
2040,61,72,85
2040,59,63,79
2010,57,60,74
1990,51,53,64
1940,50,47,56
1860,41,40,49
1740,37,34,42
1400,35,29,37
1500,22,18,26
1730,27,22,27
1870,32,25,31
1860,35,32,39
1930,39,38,45
2020,40,42,50
2000,43,47,53
2060,52,52,59
2070,57,57,67
2100,59,61,72
2115,60,66,75
2130,66,71,82
2140,67,72,85
2090,65,74,85
2130,64,77,90
2120,72,81,94
2180,72,85,94
2190,72,88,94
2190,75,88,102
2160,80,94,109
2190,80,93,110
2150,80,96,110
2210,84,99,111
2190,81,99,112
2115,80,102,115
2140,85,97,117
2100,80,96,112
2115,80,93,112
2115,78,94,107
2120,72,88,99
2090,72,82,95
2060,67,75,89
2040,69,71,84
2050,61,68,80
2000,61,61,75
1980,53,58,68
1970,51,49,59
1920,40,42,53
1880,37,35,48
1850,32,29,37
1530,28,25,32
1550,22,18,24
1820,26,21,29
1910,27,26,38
1940,35,31,36
1950,40,35,41
2040,44,41,46
2070,45,46,54
2080,45,50,59
2140,52,56,64
2140,58,59,67
2170,59,61,76
2190,63,68,77
2100,67,69,79
2210,66,75,83
2150,68,77,87
2200,72,84,93
2140,77,84,98
2130,72,87,99
2200,79,88,100
2200,80,94,107
2240,83,92,109
2180,81,100,112
2230,80,99,110
2190,85,98,112
2150,83,99,112
2150,83,99,117
2120,81,95,112
2100,75,94,110
2100,76,87,103
2080,67,80,99
2070,67,77,94
2050,63,76,91
2050,64,69,80
2020,59,64,77
1990,57,59,65
1970,45,50,59
1960,43,43,53
1900,37,37,45
1910,32,29,39
1820,27,26,33
1430,21,21,29
1685,26,21,21
1820,29,21,27
1900,32,26,35
1940,33,32,39
2010,38,35,41
2030,40,38,46
2000,45,43,51
2070,45,49,58
2100,46,52,62
2115,55,58,68
2130,59,60,71
2100,60,63,73
2140,60,66,76
2100,66,73,81
2140,70,77,86
2120,72,82,93
2120,77,83,97
2170,72,85,98
2140,82,89,101
2200,80,92,102
2220,83,98,106
2210,85,97,110
2240,85,99,112
2160,85,102,113
2170,80,98,108
2140,83,94,112
2170,82,93,106
2120,77,91,99
2070,75,84,98
2115,68,81,92
2115,67,75,88
2010,63,69,85
2030,59,67,80
2020,56,61,69
2000,45,52,61
2010,45,42,53
1960,36,34,45
1900,32,29,40
1890,26,24,32
1720,25,19,26
1670,25,16,20
1800,26,18,24
1910,26,21,26
1930,28,24,32
1970,33,30,34
1990,40,33,41
2040,45,38,45
2060,45,43,52
2070,45,49,57
2100,50,53,60
2080,56,55,65
2090,54,59,70
2100,59,66,77
2060,64,69,80
2140,63,72,85
2150,68,76,85
2140,70,79,92
2180,69,81,96
2210,73,87,103
2150,76,88,102
2120,82,95,106
2250,80,96,111
2170,81,94,112
2220,81,99,117
2230,80,99,115
2190,81,95,112
2130,83,94,107
2140,80,91,107
2130,76,87,102
2090,72,83,95
2100,67,77,85
2070,61,70,83
2040,59,64,77
2020,54,57,68
2000,51,48,61
1990,43,41,52
1990,38,37,43
1940,33,29,37
1900,27,22,32
1800,24,18,29
1660,21,16,23
1520,22,16,21
1700,25,20,26
1840,26,24,26
1890,29,24,32
1950,32,26,37
1960,37,34,40
1990,42,38,43
2070,40,43,46
2070,44,49,54
2115,49,52,59
2115,53,57,62
2030,54,62,72
2040,60,67,76
2050,62,70,80
2100,67,72,81
2160,67,78,89
2170,71,82,95
2100,74,84,98
2150,79,88,103
2115,78,87,107
2130,76,95,107
2270,80,95,107
2190,80,96,108
2210,81,99,112
2240,88,97,112
2160,80,94,109
2150,80,94,107
2180,77,89,102
2180,71,83,95
2130,65,76,91
2090,62,71,84
2070,57,63,75
2080,53,56,67
2040,47,47,58
2030,42,38,48
2030,36,34,40
1980,29,27,33
1950,26,21,26
1880,24,17,25
1870,22,14,24
1600,18,13,18
1570,24,15,22
1750,22,19,25
1830,26,21,32
1930,27,24,32
1950,32,28,32
2020,36,33,38
2050,37,40,45
2080,45,42,51
2100,45,49,57
2090,53,54,59
2115,53,57,65
2100,55,60,76
2160,57,65,78
2090,65,70,78
2160,68,75,81
2120,71,78,86
2180,73,80,92
2120,75,84,98
2190,76,85,99
2130,80,91,103
2160,82,95,107
2200,81,95,106
2240,80,96,111
2180,80,95,110
2250,80,93,110
2200,82,94,107
2210,74,89,105
2160,72,85,98
2100,72,78,95
2160,67,74,84
2130,58,66,73
2115,54,58,68
2060,49,49,54
2090,39,37,48
2040,35,33,38
2000,26,26,32
1950,25,21,28
1930,24,16,24
1880,18,13,20
1800,18,11,18
1685,16,10,18
1360,18,16,20
1650,23,18,26
1800,28,23,26
1890,27,26,32
1950,32,31,34
1990,37,34,42
2040,41,38,46
2060,45,42,53
2070,51,48,54
2120,53,51,61
2090,56,59,67
2120,58,63,71
2115,59,62,77
2120,60,70,80
2130,65,71,82
2120,70,77,91
2130,74,81,95
2150,75,83,101
2180,77,89,107
2170,80,91,103
2140,83,91,104
2180,79,90,108
2230,80,91,107
2210,78,92,104
2160,75,89,104
2160,77,89,107
2130,74,84,101
2130,70,79,94
2050,64,73,85
2020,57,63,78
2100,52,54,65
2130,42,43,55
2130,38,35,46
2080,29,26,35
2030,26,22,31
1970,26,18,26
1950,23,15,21
1910,18,11,19
1850,18,10,18
1780,15,8,13
1580,13,8,13
1350,21,15,24
1685,22,18,23
1840,26,20,27
1890,31,26,32
1930,33,28,37
1970,34,32,37
2030,40,40,46
2100,45,42,51
2070,48,48,56
2150,53,53,63
2160,53,56,67
2120,60,61,73
2100,61,67,78
2140,63,72,81
2170,65,75,85
2120,72,77,86
2140,74,83,94
2160,72,84,95
2140,73,88,99
2200,76,90,102
2200,76,93,107
2210,81,89,105
2230,80,94,102
2170,77,88,99
2210,76,88,100
2200,72,84,97
2190,68,78,89
2140,67,71,77
2115,57,64,72
2100,48,52,62
2100,43,41,52
2130,32,32,39
2100,30,25,33
2100,26,19,26
2040,22,17,23
1970,18,13,18
1940,18,10,18
1870,18,10,18
1840,14,8,18
1760,16,8,15
1370,14,8,14
1685,24,18,23
1850,27,21,26
1890,28,25,31
1940,32,28,33
1940,36,32,39
2010,40,36,44
2060,42,42,49
2060,51,45,56
2115,53,53,60
2120,53,56,68
2050,53,62,72
2040,59,65,75
2115,59,72,80
2090,66,75,85
2115,68,77,90
2130,75,81,95
2170,76,86,103
2130,78,91,105
2210,83,89,109
2200,78,90,103
2220,80,91,104
2120,78,89,99
2190,80,85,98
2200,72,82,95
2170,69,77,87
2120,57,67,79
2115,52,56,66
2170,46,46,60
2100,40,40,49
2115,35,29,38
2130,27,22,29
2120,19,17,25
2090,18,13,21
2040,15,10,18
2030,14,10,18
1960,13,8,13
1910,16,8,15
1890,15,8,18
1830,13,8,16
1430,13,8,14
1380,18,13,18
1790,21,17,22
1870,25,18,26
1920,26,23,28
1940,29,25,32
1980,33,31,36
2030,39,34,41
1980,39,40,49
2050,47,48,55
2060,53,51,63
2120,55,56,67
2115,64,61,69
2115,63,66,74
2115,64,69,80
2120,67,72,85
2160,72,80,88
2130,72,83,94
2160,72,83,95
2240,72,86,100
2230,74,91,105
2190,80,88,105
2200,76,87,103
2220,75,78,95
2240,72,77,89
2210,65,69,83
2220,57,61,71
2190,52,51,59
2170,44,41,52
2210,38,34,43
2160,28,26,35
2170,22,19,30
2160,18,13,25
2130,18,12,18
2070,18,10,18
2030,18,9,18
2000,16,8,15
1960,15,8,13
1920,14,8,17
1880,17,8,15
1690,15,8,13
1660,23,16,25
1750,23,17,26
1820,26,19,28
1920,29,25,31
1910,31,29,33
1990,36,36,39
1990,41,41,47
2010,45,44,53
1980,50,51,58
2060,53,57,67
2070,56,64,72
2080,60,67,78
2130,64,69,80
2130,62,75,85
2030,71,75,86
2160,72,83,92
2130,72,85,97
2190,78,88,91
2170,77,84,94
2190,73,81,95
2140,69,77,90
2240,63,70,80
2200,62,66,76
2250,53,55,64
2190,45,45,56
2150,37,34,44
2140,32,29,37
2140,26,21,30
2150,22,16,23
2115,18,13,19
2100,16,12,18
2090,17,10,18
2060,13,8,15
1980,16,8,14
1970,13,7,13
1920,13,7,14
1880,17,7,13
1790,15,5,13
1560,13,8,13
1590,24,16,24
1710,26,17,26
1810,25,21,27
1870,29,23,30
1940,28,28,36
1970,33,33,39
2000,39,36,45
2020,41,42,50
2050,47,47,55
2070,50,55,63
2070,53,61,69
2080,59,66,77
2115,67,68,78
2170,66,72,83
2180,68,73,84
2200,72,77,85
2190,72,80,85
2180,72,81,93
2190,72,77,88
2240,67,72,84
2120,61,62,75
2210,53,55,67
2230,46,47,58
2230,41,39,48
2180,32,30,42
2190,27,23,31
2180,24,20,26
2150,21,14,21
2120,17,10,18
2120,18,10,18
2120,15,8,15
2080,15,8,16
2060,15,8,13
2010,16,8,13
1960,13,8,14
1870,14,7,13
1790,13,8,13
1700,13,7,13
1400,14,7,13
1640,24,16,24
1730,23,18,25
1850,24,21,30
1900,31,24,31
1920,35,29,37
1950,40,33,41
1970,36,40,47
2040,46,44,52
2060,49,51,54
2050,55,58,61
2080,59,61,63
2090,59,67,71
2130,64,69,75
2115,67,72,84
2140,67,75,81
2160,64,75,85
2115,62,70,82
2220,59,67,77
2160,53,57,66
2220,49,49,57
2100,42,39,48
2200,37,33,41
2170,32,26,34
2140,26,18,27
2150,24,15,26
2170,18,12,18
2130,17,10,17
2115,17,10,15
2130,15,8,13
2115,18,8,14
2090,13,8,17
2060,13,8,14
2010,13,8,14
1930,16,8,13
1900,13,6,13
1840,17,6,13
1685,13,6,15
1590,18,13,21
1740,20,17,26
1860,24,19,26
1890,26,25,27
1940,31,29,35
1970,35,33,40
1980,38,38,45
2010,41,42,51
2040,43,46,55
2050,51,51,59
2080,58,58,63
2100,59,62,70
2115,61,67,70
2150,66,69,76
2160,62,68,78
2160,59,61,75
2180,50,58,67
2170,49,48,57
2200,42,39,50
2170,33,35,43
2240,32,26,37
2180,25,20,28
2240,20,18,26
2180,18,13,23
2130,18,11,18
2000,18,10,18
2170,15,9,14
2220,14,8,15
2130,15,8,17
2140,14,8,13
2100,13,8,16
2040,13,6,13
2000,13,7,13
1950,14,5,13
1910,14,6,12
1790,13,8,13
1550,15,8,13
1430,24,10,18
1685,20,15,19
1790,22,16,24
1860,26,19,24
1890,27,25,30
1930,33,29,33
1960,40,33,38
1990,40,38,43
1980,45,43,52
2010,50,50,55
2040,55,56,64
2010,57,61,66
2100,54,60,69
2080,55,59,67
2080,53,54,62
2130,45,49,59
2050,41,41,52
2160,38,34,45
2170,29,26,34
2190,26,21,28
2180,24,16,26
2170,23,15,23
2160,18,11,19
2090,18,8,18
2150,18,10,18
2150,18,8,15
2100,13,8,13
2090,16,8,13
2090,15,5,13
2070,15,8,13
2000,13,8,13
2000,13,6,13
1980,13,7,15
1930,13,8,14
1810,13,6,14
1700,13,5,13
1660,18,10,18
1770,18,15,18
1850,18,16,24
1890,24,18,26
1920,30,24,27
1940,33,27,32
1970,38,33,39
1960,40,39,49
1980,44,46,54
2030,52,52,60
2040,52,53,58
2060,46,52,59
2130,47,49,56
2100,47,41,51
2115,40,37,46
2160,37,34,40
2190,32,27,35
2170,29,21,29
2115,20,17,21
2180,18,13,18
2170,18,10,18
2150,18,9,19
2080,16,10,16
1840,14,9,13
1750,17,8,15
1910,13,8,13
1820,14,8,16
1860,13,8,13
1760,16,8,13
1870,14,5,13
1960,13,8,13
1950,15,5,13
1880,13,6,13
1770,14,6,13
1570,14,6,15
1360,18,9,16
1690,17,10,18
1810,21,13,18
1790,23,13,18
1910,21,16,24
1920,26,21,30
1900,35,30,38
1960,40,35,43
1970,41,40,46
2020,45,43,52
2000,41,42,51
2060,41,41,51
2100,42,37,46
2120,39,36,41
2115,35,33,39
2140,32,27,33
2160,26,23,27
2170,24,17,19
2150,18,11,18
2160,18,10,18
2100,18,8,18
2160,17,8,16
2030,16,8,16
1560,16,8,14
1470,14,8,16
1800,16,8,13
1660,17,8,13
1670,13,7,13
1685,15,8,16
1800,13,8,14
1950,16,8,13
1940,18,5,15
1820,13,7,13
1760,16,8,13
1380,13,6,13
1690,15,10,15
1780,18,10,18
1830,18,13,18
1850,18,16,18
1890,24,21,26
1920,26,25,33
1960,32,30,38
1990,37,35,45
2020,41,36,44
2030,37,37,43
2030,37,33,41
2100,33,29,36
2115,32,27,32
2130,31,24,31
2150,25,19,26
2140,20,15,22
2150,18,11,19
2160,18,9,18
2190,18,9,15
2220,16,8,14
2210,13,8,15
2190,16,8,16
2190,13,8,14
2115,13,8,13
2115,16,8,18
2115,13,7,17
2060,13,8,13
2020,13,8,13
1970,13,6,16
1960,13,5,13
1880,13,7,13
1790,13,5,13
1710,13,8,13
1330,16,8,13
1620,18,10,14
1690,18,10,18
1800,19,13,18
1840,21,18,24
1880,26,18,29
1910,27,24,27
1950,30,25,29
1970,30,25,32
1980,30,24,30
2030,28,23,31
2050,24,24,26
2090,26,18,25
2060,23,16,20
2100,24,15,18
2115,18,12,17
2130,18,10,17
2180,18,10,14
2160,13,8,15
2170,13,8,13
2180,13,6,13
2170,13,7,13
2170,16,8,16
2170,17,8,18
2120,18,8,16
2090,15,6,13
2090,15,6,13
2020,13,5,13
1970,13,5,13
1930,13,5,13
1870,16,5,13
1780,13,6,13
1440,13,5,15
1580,15,8,13
1730,18,8,17
1790,18,10,16
1830,18,10,18
1880,20,13,18
1910,22,13,17
1950,21,16,18
1960,24,14,20
1990,21,16,22
2020,21,13,23
2040,17,13,19
2070,18,10,18
2050,15,10,18
2115,13,8,18
2115,15,8,17
2160,16,8,14
2170,13,8,13
2180,13,8,13
2190,16,5,13
2170,14,6,13
2180,17,7,13
2140,13,5,13
2190,16,5,14
2120,13,6,13
2200,13,8,13
2160,13,5,13
2080,13,5,13
2040,13,7,13
1940,13,5,13
1860,13,5,13
1720,13,5,13
1550,17,7,15
1720,16,8,13
1760,16,5,13
1790,15,7,13
1840,14,8,16
1880,13,8,13
1920,13,8,16
1910,13,8,18
2000,13,7,17
1990,16,8,13
2020,13,5,13
2060,13,8,13
2120,13,5,13
2140,13,5,14
2150,13,5,13
2140,13,5,13
2150,13,7,15
2170,13,6,13
2170,13,5,13
2120,13,6,13
2160,13,5,13
2150,13,5,13
2120,13,5,13
2140,13,5,16
2090,13,5,13
2040,13,5,13
1930,13,5,13
1870,13,5,13
1810,13,5,13
1560,13,5,13
1610,13,5,13
1750,13,5,13
1780,13,6,13
1860,13,5,13
1900,13,5,13
1920,15,5,13
1940,13,5,13
1970,13,5,13
2000,13,6,13
2060,13,5,13
2060,13,5,13
2120,13,5,13
2150,13,5,13
2170,13,5,13
2180,13,5,13
2180,13,5,13
2170,13,5,13
2160,13,5,13
2150,13,5,13
2140,13,5,13
2150,13,5,13
2130,13,5,13
2130,13,5,14
2090,13,5,14
2020,13,5,13
1930,13,5,13
1860,13,6,13
1740,13,5,13
1470,13,5,13
1650,13,5,13
1710,13,5,13
1800,13,5,13
1860,13,5,13
1910,13,5,13
1930,13,5,16
1960,13,5,13
1970,13,5,13
2030,13,5,8
2060,13,5,10
2070,13,5,13
2090,13,5,13
2130,13,5,13
2130,13,5,13
2130,13,5,13
2180,13,5,13
2130,13,5,13
2140,13,5,13
2140,13,5,13
2080,13,5,13
2070,13,5,11
1980,13,5,11
1990,13,5,13
1880,13,5,13
1840,13,5,13
1710,13,5,13
1440,13,5,13
1690,15,5,13
1760,13,5,13
1860,13,4,13
1880,13,5,13
1950,10,5,13
1950,13,5,13
1970,13,5,13
2040,13,5,13
2070,13,5,13
2080,13,5,13
2090,11,5,13
2115,13,5,13
2130,13,5,13
2140,13,5,13
2180,13,5,14
2150,13,5,13
2140,13,5,13
2115,13,5,13
2100,13,5,13
2070,13,5,10
2020,13,5,13
1960,13,5,13
1880,13,5,13
1730,13,5,13
1440,13,5,13
1600,13,5,13
1760,13,5,13
1780,13,5,13
1850,13,5,13
1890,13,5,13
1930,13,5,13
1970,13,5,13
1970,13,4,13
1960,13,5,13
2070,13,5,13
2040,13,5,13
2060,13,5,13
2120,13,5,13
2080,13,5,13
2140,13,5,13
2100,13,5,13
2100,13,5,13
2080,14,5,13
2070,13,5,13
1970,13,5,13
1950,13,5,15
1830,13,5,13
1670,13,5,13
1310,13,5,13
1570,13,5,13
1750,13,5,13
1790,13,5,13
1840,13,5,13
1890,13,5,13
1950,13,5,15
1960,13,6,13
2000,13,5,13
2000,13,5,13
2080,13,5,13
2090,13,5,13
2120,13,5,13
2120,13,5,13
2120,13,4,13
2120,13,5,14
2130,13,5,13
2100,13,5,13
2040,13,5,13
1970,13,5,13
1930,13,5,13
1840,13,5,13
1520,13,5,13
1640,13,5,13
1750,16,5,13
1810,13,5,13
1840,13,5,13
1910,13,5,11
1910,13,5,13
1940,13,5,13
1990,13,5,13
2050,13,5,13
2050,13,5,13
2070,13,5,13
2090,13,5,13
2090,13,5,13
2070,13,5,13
2060,13,5,13
2070,13,5,13
2040,14,5,13
1950,16,5,13
1940,13,5,13
1800,13,5,13
1465,13,5,13
1620,13,5,13
1740,13,5,13
1830,13,5,13
1890,13,5,13
1900,13,5,13
1920,13,5,13
1990,13,5,13
2040,13,5,13
2030,13,5,13
2050,13,5,13
2070,13,5,13
2115,14,5,13
2150,13,5,13
2060,13,5,13
2040,13,5,13
2030,13,5,13
1940,13,5,14
1870,13,5,13
1740,13,5,13
1580,12,5,13
1710,13,5,13
1820,13,5,13
1860,13,5,13
1830,13,5,13
1910,13,5,13
1960,13,5,13
1930,13,5,13
1910,13,5,13
1980,13,5,13
2010,13,5,13
2000,13,5,11
2020,13,5,10
2050,13,5,13
1970,13,5,13
1930,13,5,13
1890,13,5,13
1690,14,5,13
1370,13,6,13
1710,13,5,13
1740,13,5,13
1810,15,5,13
1850,13,5,13
1900,13,5,13
1910,13,5,16
1950,16,5,13
1970,13,5,16
2000,13,5,13
2030,13,5,13
2060,13,5,13
1940,13,5,13
1990,13,5,13
1900,13,5,13
1860,13,5,13
1690,13,5,13
1360,13,5,13
1650,13,5,13
1770,13,5,13
1820,13,5,14
1830,13,5,13
1910,15,5,13
1930,13,5,13
1940,13,5,13
2010,13,5,16
2000,13,5,13
1960,13,5,13
1930,13,4,13
1900,13,5,13
1900,13,5,13
1685,13,5,13
1330,13,5,13
1550,13,5,13
1700,13,5,13
1770,13,5,13
1900,13,5,13
1910,13,5,13
1950,15,5,13
1980,13,5,13
1960,13,5,13
1950,13,5,13
1890,13,5,13
1840,10,5,13
1770,13,5,13
1350,13,5,13
1440,13,5,13
1640,13,5,13
1800,13,5,13
1850,13,5,13
1830,13,2,15
1980,13,5,13
1990,13,5,13
1880,16,5,13
1920,13,5,13
1800,13,5,13
1430,13,5,16
1480,13,5,13
1660,13,5,13
1790,13,5,13
1910,13,5,13
1930,13,5,13
1960,14,5,11
1860,13,5,13
1770,13,4,14
1410,13,5,13
1390,13,5,15
1630,13,5,13
1820,13,5,13
1900,13,5,13
1790,13,5,13
1740,13,5,13
1810,13,5,13
1620,13,5,13
1550,13,5,15
1550,13,5,13
1310,13,5,16
1685,13,5,13
1830,13,5,13
1770,13,5,10
1800,13,5,12
1770,13,5,13
1780,13,5,13
1830,13,5,13
1850,13,5,13
1620,13,5,13
1350,13,5,15
1470,13,5,15
1540,13,5,13
1570,13,5,13
1630,13,5,13
1600,13,5,13
1440,13,5,13
